apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
12,5,4,228,3-C,5,125.93,24.27,כן,7.95,2,מערב/צפון/דרום,"1,868,173 ₪",,,B5-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
13,5,4,228,3-D,5,127.03,24.29,כן,7.14,2,מזרח/דרום,"1,877,711 ₪",,,B5-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
14,5,4,228,3-E,3,82.34,20.64,כן,9.15,2,מזרח/צפון/מערב,"1,189,640 ₪",,,B5-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
15,5,5,228,3-C,5,125.93,24.27,כן,7.96,2,מערב/צפון/דרום,"1,868,235 ₪",,,B5-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
16,5,5,228,3-D,5,127.03,24.29,כן,7.95,2,מזרח/דרום,"1,882,720 ₪",,,B5-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
17,5,5,228,3-E,3,82.34,20.64,כן,9.40,2,מזרח/צפון/מערב,"1,190,876 ₪",,,B5-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
18,5,6,228,3-C,5,125.93,24.27,כן,8.22,2,מערב/צפון/דרום,"1,869,843 ₪",,,B5-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
19,5,6,228,3-F,5,155.37,100.78,לא,9.68,2,מזרח/דרום/צפון,,,,B5-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
20,5,7,228,3-G,5,184.11,126.56,לא,9.47,2,מערב/מזרח/צפון/דרום,,,,B5-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29
1,6,קרקע,228,3-JM,5,127.69,147.67,לא,10.21,2,צפון/מזרח/מערב,,,,B6-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
2,6,קרקע,228,3-KM,5,127.48,210.46,לא,10.21,2,דרום מזרח,,,,B6-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
3,6,1,228,3-CM,5,125.93,24.27,כן,7.40,2,צפון/מזרח/מערב,"1,864,772 ₪",,,B6-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
4,6,1,228,3-DM,5,127.03,24.29,כן,6.70,2,דרום מזרח,"1,874,991 ₪",,,B6-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
5,6,1,228,3-EM,3,82.34,20.64,כן,8.19,2,דרום/מערב/צפון,"1,184,890 ₪",,,B6-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
6,6,2,228,3-CM,5,125.93,24.27,כן,7.47,2,צפון/מזרח/מערב,"1,865,205 ₪",,,B6-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
7,6,2,228,3-DM,5,127.03,24.29,כן,6.92,2,דרום מזרח,"1,876,351 ₪",,,B6-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
8,6,2,228,3-EM,3,82.34,20.64,כן,8.82,2,דרום/מערב/צפון,"1,188,007 ₪",,,B6-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
9,6,3,228,3-CM,5,125.93,24.27,כן,7.47,2,צפון/מזרח/מערב,"1,865,205 ₪",,,B6-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
10,6,3,228,3-DM,5,127.03,24.29,כן,7.18,2,דרום מזרח,"1,877,959 ₪",,,B6-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
11,6,3,228,3-EM,3,82.34,20.64,כן,9.39,2,דרום/מערב/צפון,"1,190,827 ₪",,,B6-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
12,6,4,228,3-CM,5,125.93,24.27,כן,7.69,2,צפון/מזרח/מערב,"1,866,565 ₪",,,B6-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
13,6,4,228,3-DM,5,127.03,24.29,כן,7.43,2,דרום מזרח,"1,879,505 ₪",,,B6-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
14,6,4,228,3-EM,3,82.34,20.64,כן,9.40,2,דרום/מערב/צפון,"1,190,876 ₪",,,B6-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
15,6,5,228,3-CM,5,125.93,24.27,כן,7.68,2,צפון/מזרח/מערב,"1,866,504 ₪",,,B6-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
16,6,5,228,3-DM,5,127.03,24.29,כן,7.30,2,דרום מזרח,"1,878,701 ₪",,,B6-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
17,6,5,228,3-EM,3,82.34,20.64,כן,9.77,2,דרום/מערב/צפון,"1,192,707 ₪",,,B6-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
18,6,6,228,3-CM,5,125.93,24.27,כן,7.85,2,צפון/מזרח/מערב,"1,867,555 ₪",,,B6-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
19,6,6,228,3-FM,5,155.37,100.78,לא,9.93,2,מערב/דרום מזרח,,,,B6-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
20,6,7,228,3-GM,5,184.11,126.56,לא,9.78,2,צפון/מערב/דרום/מזרח,,,,B6-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29
1,7,1,228,4-A,5.5,140.20,24.24,כן,6.04,2,מערב/דרום,"1,960,413 ₪",,,B7-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
2,7,1,228,4-B,5,147.73,18.41,כן,8.10,2,צפון/מזרח,"2,019,105 ₪",,,B7-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
3,7,2,228,4-C,5.5,144.26,23.94,כן,7.83,2,מערב/צפון,"2,032,753 ₪",,,B7-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
4,7,2,228,4-D,5.5,141.28,23.90,כן,6.45,2,מערב/דרום,"1,986,791 ₪",,,B7-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
5,7,2,228,4-E,5,125.03,18.41,כן,8.94,2,צפון/מזרח,"1,749,880 ₪",,,B7-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
6,7,2,228,4-F,3,82.83,23.91,כן,9.22,2,מזרח,"1,159,851 ₪",,,B7-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
7,7,2,228,4-G,3,83.90,23.90,כן,8.60,2,דרום/מזרח,"1,169,575 ₪",,,B7-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
